time	x	y	z
38.275	2.710864578	-2.225781615	-0.779881625
38.2775	2.515989697	-1.720315133	-0.648337229
38.28	1.642621422	-0.858507707	-1.324454114
38.2825	0.359692951	0.09533968	-2.557736997
38.285	-0.919090303	0.805213752	-3.930519686
38.2875	-1.795841935	1.107188763	-5.028630254
38.29	-2.04618811	1.129877334	-5.595278381
38.2925	-1.701143674	1.186241954	-5.614883021
38.295	-1.010553118	1.510409902	-5.289478228
38.2975	-0.303954462	2.041488101	-4.909529749
38.3	0.178738963	2.430809595	-4.676149234
38.3025	0.394757602	2.283409642	-4.57213111
38.305	0.485772574	1.462717337	-4.368044635
38.3075	0.657281229	0.229631648	-3.776265987
38.31	1.027814636	-0.897577182	-2.667576421
38.3125	1.543091779	-1.470973638	-1.209397865
38.315	2.007075855	-1.394783463	0.180487564
38.3175	2.205810031	-0.957901948	1.056660814
38.32	2.040865849	-0.595822129	1.214362914
38.3225	1.586599286	-0.559479373	0.828634239
38.325	1.039812492	-0.73565551	0.363342664
38.3275	0.602564441	-0.749385271	0.296964786
38.33	0.378614179	-0.268366248	0.834839336
38.3325	0.346465409	0.719737217	1.789414782
38.335	0.413353117	1.863842495	2.700219021
38.3375	0.498733811	2.671363655	3.108275474
38.34	0.582521322	2.831511322	2.804641277
38.3425	0.688578944	2.404973598	1.903309958
38.345	0.827099121	1.748147351	0.717555362
38.3475	0.94907995	1.237480499	-0.448722049
38.35	0.95206376	1.002155533	-1.440939672
38.3525	0.732825752	0.858233736	-2.243261922
38.355	0.245786049	0.481936982	-2.859974784
38.3575	-0.475611002	-0.316372456	-3.211574516
38.36	-1.344481643	-1.421960235	-3.145323368
38.3625	-2.264523068	-2.466657527	-2.556189216
38.365	-3.152245414	-3.051658305	-1.514589602
38.3675	-3.920853614	-2.974918672	-0.282086505
38.37	-4.447851293	-2.310335865	0.820682815
38.3725	-4.569615478	-1.311193518	1.611003399
38.375	-4.130239007	-0.241698276	2.161163227
38.3775	-3.069589165	0.72369719	2.736259565
38.38	-1.498633357	1.474179862	3.577738128
38.3825	0.292773502	1.873669727	4.67336855
38.385	1.914988954	1.7316532	5.67767926
38.3875	3.013870438	0.900725858	6.057770004
38.39	3.399295879	-0.555457212	5.39474487
38.3925	3.107987657	-2.267291857	3.665414482
38.395	2.376079626	-3.652176642	1.331193666
38.3975	1.538357976	-4.178311701	-0.831291221
38.4	0.89816181	-3.646450058	-2.077070218
38.4025	0.616924337	-2.303728875	-2.037446599
38.405	0.660780774	-0.70577015	-0.885292841
38.4075	0.822588339	0.588757997	0.75922132
38.41	0.815476724	1.294975325	2.128936211
38.4125	0.408866217	1.480087499	2.662042805
38.415	-0.445467414	1.417175702	2.233847699
38.4175	-1.55795884	1.343243068	1.162324835
38.42	-2.555946556	1.303333801	-0.002612928
38.4225	-3.037755964	1.180329017	-0.789004258
38.425	-2.759009511	0.86018459	-1.048056882
38.4275	-1.756196431	0.381536568	-1.00748888
38.43	-0.337872678	-0.058103892	-1.10870166
38.4325	1.055443625	-0.243833501	-1.721136535
38.435	2.046816801	-0.11347912	-2.896101576
38.4375	2.467203198	0.187413529	-4.301712251
38.44	2.37651786	0.416657703	-5.378333404
38.4425	1.967748612	0.427711684	-5.627032453
38.445	1.430051895	0.288827813	-4.866792612
38.4475	0.861558919	0.228417376	-3.317255877
38.45	0.275701073	0.443365987	-1.470768481
38.4525	-0.326973092	0.919996719	0.157677817
38.455	-0.892769656	1.41465405	1.250532995
38.4575	-1.311269808	1.620910187	1.761200287
38.46	-1.473744995	1.403191994	1.829715849
38.4625	-1.340704093	0.916766803	1.630613518
38.465	-0.959564963	0.512385891	1.271159054
38.4675	-0.417349301	0.484889155	0.799125071
38.47	0.229737188	0.848017248	0.283205558
38.4725	0.985559996	1.306681317	-0.129513375
38.475	1.870013234	1.456587227	-0.252528737
38.4775	2.832127333	1.072258877	0.015254208
38.48	3.693845649	0.274365273	0.570085362
38.4825	4.185024595	-0.549069904	1.093998442
38.485	4.066544252	-1.014479818	1.192611605
38.4875	3.269993335	-1.012065071	0.61536611
38.49	1.960863316	-0.776467377	-0.571387572
38.4925	0.475873744	-0.706033182	-1.969702885
38.495	-0.83486221	-1.061500645	-3.015032049
38.4975	-1.768356355	-1.763642553	-3.238049773
38.5	-2.337942725	-2.437564306	-2.486315782
38.5025	-2.716050048	-2.671879673	-0.993147002
38.505	-3.093549523	-2.305156064	0.736830964
38.5075	-3.544444561	-1.533447012	2.165180967
38.51	-3.973046887	-0.764638204	2.965006245
38.5125	-4.165449254	-0.329914576	3.16078445
38.515	-3.906842123	-0.264404123	3.1000257
38.5175	-3.097725902	-0.314768183	3.267199264
38.52	-1.81456372	-0.162149945	4.019809014
38.5225	-0.295745201	0.309665149	5.368603339
38.525	1.132543906	0.902010804	6.916193478
38.5275	2.158573565	1.229608796	8.004782341
38.53	2.582466752	0.996651318	8.023043806
38.5325	2.380896801	0.219914506	6.72906863
38.535	1.716811648	-0.761573844	4.417008078
38.5375	0.883535264	-1.495037876	1.820708685
38.54	0.195023338	-1.689886201	-0.214439529
38.5425	-0.138826543	-1.367721414	-1.125623057
38.545	-0.096536628	-0.792589339	-0.880617231
38.5475	0.155515585	-0.250509402	0.054153273
38.55	0.35364137	0.148115036	0.996859104
38.5525	0.274085275	0.498249541	1.410184603
38.555	-0.153428529	0.954042461	1.128577069
38.5575	-0.813735748	1.536784644	0.340368405
38.56	-1.467831841	2.060891168	-0.625629752
38.5625	-1.868843158	2.246838945	-1.541897224
38.565	-1.868504519	1.939489289	-2.389183675
38.5675	-1.464552864	1.260159387	-3.279861452
38.57	-0.778929153	0.562661437	-4.284731102
38.5725	0.006433802	0.208233918	-5.310135834
38.575	0.716665273	0.314567485	-6.118642631
38.5775	1.227636464	0.663039981	-6.468689216
38.58	1.482950714	0.840937744	-6.260548824
38.5825	1.494100216	0.527695863	-5.581719526
38.585	1.331205904	-0.272561314	-4.631516048
38.5875	1.102871727	-1.21677901	-3.598090874
38.59	0.921607081	-1.840138512	-2.586447764
38.5925	0.861133598	-1.856192574	-1.63843072
38.595	0.924790142	-1.334536586	-0.79924299
38.5975	1.045869417	-0.637173061	-0.146095112
38.6	1.125113891	-0.162379266	0.2631945
38.6025	1.086895237	-0.075064465	0.479029199
38.605	0.921447393	-0.205826872	0.693207556
38.6075	0.687828179	-0.179841823	1.155645082
38.61	0.477366216	0.319918145	2.008786884
38.6125	0.362833895	1.334050233	3.154245557
38.615	0.365620557	2.589781292	4.260557772
38.6175	0.457804133	3.653783598	4.925904162
38.62	0.591063566	4.161582394	4.895448364
38.6225	0.727691295	3.977784791	4.188909925
38.625	0.852094458	3.208118957	3.057711453
38.6275	0.959494346	2.091477046	1.816055595
38.63	1.035638727	0.867640935	0.678431865
38.6325	1.044807858	-0.296222773	-0.281650838
38.635	0.933599983	-1.30459096	-1.044621046
38.6375	0.645232293	-2.102856316	-1.532253694
38.64	0.134790561	-2.667702741	-1.592214809
38.6425	-0.617651495	-3.025290025	-1.112946674
38.645	-1.591218161	-3.257534244	-0.176269329
38.6475	-2.702846371	-3.456247352	0.89966409
38.65	-3.790153245	-3.634602069	1.703755703
38.6525	-4.620400385	-3.661937212	1.988971102
38.655	-4.94376892	-3.296419373	1.85874833
38.6575	-4.585286286	-2.330752819	1.722693453
38.66	-3.538177437	-0.776363148	2.017767367
38.6625	-2.00544964	1.039029089	2.870203854
38.665	-0.352850887	2.550777853	3.939747274
38.6675	1.019457879	3.19740971	4.579913464
38.67	1.831539136	2.697040856	4.233366805
38.6725	2.028986819	1.202508289	2.810665929
38.675	1.784873668	-0.755100737	0.797841632
38.6775	1.397618067	-2.500331306	-0.988574279
38.68	1.138435715	-3.491876264	-1.849284476
38.6825	1.126074345	-3.502883802	-1.57271398
38.685	1.288205696	-2.636962376	-0.506457892
38.6875	1.420986424	-1.217296168	0.690784031
38.69	1.308902143	0.356529979	1.435863903
38.6925	0.841978016	1.70895682	1.498330202
38.695	0.076379724	2.537067195	1.02140349
38.6975	-0.783117639	2.647952503	0.324508656
38.7	-1.463941886	2.016829662	-0.341986455
38.7025	-1.731197441	0.843902756	-0.920868375
38.705	-1.474990102	-0.456180062	-1.498966047
38.7075	-0.749402255	-1.381734811	-2.164939633
38.71	0.246841161	-1.560190291	-2.903053721
38.7125	1.237823981	-0.942329447	-3.595385649
38.715	1.960486148	0.153275545	-4.103221873
38.7175	2.245163182	1.197308123	-4.339706517
38.72	2.058881421	1.733052243	-4.272325557
38.7225	1.498371614	1.620238233	-3.872616925
38.725	0.739812235	1.088200237	-3.086192526
38.7275	-0.030521146	0.565262572	-1.877295149
38.73	-0.674265504	0.39670035	-0.324936031
38.7325	-1.125536788	0.636079519	1.318234282
38.735	-1.378658398	1.042932568	2.683215228
38.7375	-1.454038084	1.278340662	3.451439931
38.74	-1.365872304	1.155778238	3.529360943
38.7425	-1.110474116	0.770649569	3.104017272
38.745	-0.679361671	0.421163218	2.527019291
38.7475	-0.085726122	0.381353471	2.098112881
38.75	0.614294548	0.689825859	1.896874361
38.7525	1.319883293	1.105043863	1.779354602
38.755	1.906590985	1.260231009	1.535387698
38.7575	2.261737923	0.912205497	1.081373226
38.76	2.319031327	0.115485138	0.537064817
38.7625	2.07877073	-0.794336492	0.126660916
38.765	1.607283249	-1.395009138	-0.014430287
38.7675	1.016648387	-1.421804091	0.033630332
38.77	0.430895384	-0.90893302	0.027813957
38.7725	-0.052353136	-0.151502515	-0.234923476
38.775	-0.39491567	0.470650904	-0.722556803
38.7775	-0.635248147	0.687035493	-1.147858458
38.78	-0.879274524	0.436662203	-1.163366708
38.7825	-1.259208242	-0.15950125	-0.639833277
